id_kasus,nomor_perkara,fakta_hukum,pasal_dilanggar
CASE_001,57/PEN.PID/2016/PN.,"berdasarkan persesuaian keterangan saksi dan terdakwa serta dihubungkan barang bukti yang diajukan dipersidangan ternyata sejak bulan september 2013 sampai sekarang bertempat di desa cemara jaya, kecamatan wasile, kabupaten halmahera timur telah terjadi penelantaran dalam rumah tangga yang dilakukan...",PASAL 44 UU KDRT (DEFAULT)
CASE_002,81/PID.SUS/2016/PN,"berdasarkan keterangan saksi-saksi dan keterangan terdakwa setelah dihubungkan dengan keadaan yang terjadi selama proses yang terjadi dalam persidangan dimana antara satu dan yang lainnya yang bersesuaian, dari persesuaian tersebut telah ditermukan fakta-fakta hukum sebagai berikut : - bahwa kejadia...",PASAL 44 UU KDRT (DEFAULT)
CASE_003,23,Terdakwa terbukti melakukan kekerasan fisik/psikis dalam lingkup rumah tangga sebagaimana fakta persidangan.,PASAL 44 UU KDRT (DEFAULT)
CASE_004,23,Terdakwa terbukti melakukan kekerasan fisik/psikis dalam lingkup rumah tangga sebagaimana fakta persidangan.,PASAL 44 UU KDRT (DEFAULT)
CASE_005,74/PID.SUS/2014/PN.BKYDEMI,setiap orang ialah siapa saja sebagai subyek hukum yang melakukan perbuatan sebagaimana yang dirumuskan dalam pasal tersebut yang dalam perkara ini menunjuk pada orang perorangan ;menimbang bahwa di persidangan terdakwa yoga als dagang als pak uci anak muhammad ale (alm)menerangkan identitasnya sama...,PASAL 44 UU KDRT (DEFAULT)
CASE_006,1-K/PM.I-02/AD/I/2025,Terdakwa terbukti melakukan kekerasan fisik/psikis dalam lingkup rumah tangga sebagaimana fakta persidangan.,PASAL 44 UU KDRT (DEFAULT)
CASE_007,1-K/PM.I-07/AD/I/2025DEMI,Terdakwa terbukti melakukan kekerasan fisik/psikis dalam lingkup rumah tangga sebagaimana fakta persidangan.,PASAL 44 UU KDRT (DEFAULT)
CASE_008,104-K/PMT-II/AD/X/2025P,Terdakwa terbukti melakukan kekerasan fisik/psikis dalam lingkup rumah tangga sebagaimana fakta persidangan.,PASAL 44 UU KDRT (DEFAULT)
CASE_009,23,Terdakwa terbukti melakukan kekerasan fisik/psikis dalam lingkup rumah tangga sebagaimana fakta persidangan.,PASAL 44 UU KDRT (DEFAULT)
CASE_010,114/PID.SUS/2015/PN,Terdakwa terbukti melakukan kekerasan fisik/psikis dalam lingkup rumah tangga sebagaimana fakta persidangan.,PASAL 44 UU KDRT (DEFAULT)
CASE_011,115-K,Terdakwa terbukti melakukan kekerasan fisik/psikis dalam lingkup rumah tangga sebagaimana fakta persidangan.,PASAL 44 UU KDRT (DEFAULT)
CASE_012,118-K/PM.III-12/AD/VIII/2025,Terdakwa terbukti melakukan kekerasan fisik/psikis dalam lingkup rumah tangga sebagaimana fakta persidangan.,PASAL 44 UU KDRT (DEFAULT)
CASE_013,123-K,Terdakwa terbukti melakukan kekerasan fisik/psikis dalam lingkup rumah tangga sebagaimana fakta persidangan.,PASAL 44 UU KDRT (DEFAULT)
CASE_014,132-K/PM,Terdakwa terbukti melakukan kekerasan fisik/psikis dalam lingkup rumah tangga sebagaimana fakta persidangan.,PASAL 44 UU KDRT (DEFAULT)
